study_hours_per_day,dsa_hours_per_week,dsa_problems_solved,projects_count,internships,cgpa,mock_interviews,communication_score,resume_score,hackathons_participated,placement_status
4.6,10.5,84,2,0,8.55,3,4.8,3.8,2,Placed
1.5,8.6,120,1,1,6.62,4,6.2,3.0,2,Placed
4.2,5.0,67,1,0,6.75,6,4.6,3.0,1,Placed
5.0,5.0,61,2,0,8.09,4,4.4,3.5,2,Placed
6.7,5.0,66,1,1,8.86,6,3.6,4.2,2,Placed
3.7,12.2,110,3,1,6.68,2,6.6,5.7,2,Placed
3.3,7.1,80,1,0,6.41,4,6.2,3.8,2,Placed
3.7,7.3,76,1,0,7.72,0,5.5,3.4,2,Not Placed
5.9,9.1,78,4,1,7.93,3,5.3,5.4,0,Placed
5.0,6.7,76,1,1,7.68,1,3.3,2.1,1,Placed
3.7,5.2,75,3,1,7.83,4,6.4,6.4,0,Placed
5.3,5.4,44,1,1,9.41,2,5.5,5.4,1,Placed
4.6,5.8,58,0,1,6.95,3,7.3,4.0,2,Placed
6.0,5.9,55,3,1,7.82,4,6.2,5.7,1,Placed
3.4,8.2,79,1,0,6.78,5,7.1,5.0,1,Placed
4.0,6.2,88,0,0,7.07,2,6.0,3.9,2,Placed
3.9,8.2,92,3,1,7.22,4,6.3,6.2,2,Placed
2.3,5.8,64,1,1,5.81,5,7.4,5.7,2,Placed
4.9,6.2,83,1,0,6.59,4,5.7,4.0,0,Not Placed
4.9,0.0,0,4,0,8.67,5,6.7,6.5,1,Placed
4.5,8.7,99,2,1,7.68,1,5.3,3.8,2,Placed
4.1,7.0,77,3,0,6.78,3,5.8,6.6,3,Placed
2.4,9.0,109,2,0,6.49,5,8.4,5.7,1,Placed
3.9,0.0,0,1,0,8.22,1,7.0,4.8,3,Not Placed
4.0,12.3,164,0,0,6.44,0,5.2,1.8,2,Not Placed
3.3,5.6,60,2,0,6.8,1,6.6,4.3,0,Placed
4.3,9.3,128,0,0,6.16,2,4.1,2.4,2,Not Placed
5.1,2.9,26,3,0,7.47,3,5.7,2.8,1,Not Placed
7.3,7.8,64,1,1,9.1,1,4.6,3.0,2,Not Placed
4.8,2.8,26,0,0,6.6,2,6.7,2.6,2,Not Placed
4.9,4.1,42,1,1,7.31,2,5.7,3.2,0,Placed
4.4,11.7,135,1,1,7.75,5,6.4,4.9,0,Placed
1.6,5.4,66,4,0,6.22,1,7.2,5.9,2,Placed
4.5,6.7,95,3,1,6.42,3,5.3,6.9,2,Placed
4.6,8.6,99,3,0,7.56,2,5.4,3.4,2,Not Placed
8.2,7.5,86,1,1,9.49,4,5.9,4.8,2,Placed
4.2,6.5,53,2,0,7.18,5,4.7,2.7,4,Placed
5.0,7.1,58,3,1,8.24,3,6.0,4.1,1,Placed
4.4,13.2,156,3,1,6.81,3,6.1,6.4,1,Placed
2.7,5.8,64,4,0,6.66,3,6.3,6.2,1,Placed
6.2,6.6,91,0,0,7.29,2,6.6,3.9,3,Placed
5.6,9.2,83,0,1,6.69,3,3.6,1.5,0,Placed
5.7,9.3,76,3,1,8.39,6,4.1,4.9,2,Placed
3.1,9.6,106,2,0,6.58,2,4.2,3.9,0,Placed
6.6,7.9,76,1,1,7.98,1,6.1,5.6,1,Placed
2.4,2.6,21,1,0,5.45,3,5.6,4.0,2,Not Placed
5.4,10.9,142,1,1,8.27,1,2.6,3.9,2,Not Placed
7.8,2.6,22,3,0,7.84,4,8.9,7.3,4,Placed
3.0,6.9,84,1,1,7.2,5,3.0,3.2,2,Placed
3.7,3.7,37,0,0,7.14,2,6.0,3.5,1,Not Placed
4.6,5.8,53,1,0,6.3,3,6.8,5.0,3,Placed
3.7,7.0,74,5,0,6.96,0,4.9,5.9,2,Not Placed
2.2,7.0,94,1,0,7.94,1,7.0,5.3,4,Placed
4.6,7.3,78,0,0,8.13,7,4.5,3.1,0,Not Placed
2.9,10.8,143,3,0,5.87,6,6.3,4.3,1,Placed
5.2,7.4,65,2,1,8.11,2,2.7,2.3,4,Placed
3.1,5.3,70,1,0,5.57,2,7.8,4.5,0,Not Placed
6.8,8.9,85,1,0,7.45,3,6.0,2.4,1,Not Placed
3.3,9.6,121,4,0,6.62,4,3.6,4.3,1,Placed
4.0,2.3,27,1,0,7.39,3,6.9,4.1,3,Not Placed
5.7,7.8,113,2,0,8.43,4,8.4,6.7,1,Placed
2.7,8.1,86,2,0,6.9,1,4.6,4.0,1,Not Placed
4.8,5.1,43,1,0,7.77,4,5.7,4.4,2,Placed
6.5,10.1,82,4,0,7.1,3,5.2,4.5,3,Placed
2.1,5.5,76,1,0,6.0,4,4.8,4.6,0,Placed
4.8,6.4,74,0,0,8.07,4,4.7,3.2,1,Not Placed
4.9,5.5,73,2,0,7.76,4,5.0,4.1,3,Placed
5.7,6.0,58,0,0,7.96,3,5.1,1.0,0,Placed
2.6,2.7,28,3,1,6.55,0,5.5,6.7,1,Placed
2.5,1.7,13,0,0,6.48,4,5.4,4.5,1,Not Placed
5.3,10.8,158,5,1,6.27,3,7.1,7.6,0,Placed
4.9,3.5,43,3,0,8.28,6,7.0,5.3,1,Placed
4.9,3.0,43,1,1,7.36,1,3.7,2.9,2,Placed
5.0,0.0,0,2,1,8.01,3,5.1,3.1,3,Not Placed
3.5,4.1,50,2,0,5.13,3,7.9,4.6,2,Placed
4.8,2.0,25,2,1,8.59,3,6.4,7.1,3,Placed
4.9,10.9,111,1,0,6.66,3,6.5,4.9,0,Placed
3.4,9.0,125,4,0,8.49,2,6.4,4.8,2,Placed
7.3,3.9,57,1,1,10.0,3,5.6,3.8,3,Placed
5.2,12.8,181,4,1,6.68,3,5.9,8.5,0,Placed
2.7,8.9,117,0,0,6.93,3,5.4,1.7,3,Not Placed
5.5,5.0,49,2,0,7.03,2,7.3,4.1,2,Placed
3.0,0.0,0,2,0,6.07,2,5.4,3.5,2,Not Placed
5.7,12.9,189,1,0,7.41,2,5.8,2.2,5,Placed
6.2,1.8,14,4,1,8.43,5,7.1,6.4,2,Placed
3.3,1.1,13,2,0,6.86,2,5.5,3.4,1,Placed
5.9,9.1,117,4,0,7.13,6,5.9,4.4,2,Not Placed
5.1,13.3,164,2,0,7.87,4,5.5,5.3,6,Placed
5.7,10.2,151,3,0,7.72,3,5.9,3.6,1,Placed
7.3,7.7,78,3,0,7.4,3,5.5,4.4,2,Placed
4.1,7.8,80,1,1,6.76,0,5.2,3.3,0,Placed
3.4,8.6,73,0,1,7.85,5,4.9,3.3,5,Not Placed
3.2,8.3,91,1,1,6.3,2,5.7,3.5,3,Placed
3.3,6.8,67,2,0,5.35,3,7.5,5.0,5,Not Placed
4.4,6.3,65,2,1,7.76,3,6.9,6.0,2,Not Placed
5.0,5.8,80,4,1,6.86,4,3.6,6.6,0,Placed
4.9,3.7,54,1,1,7.61,2,5.4,3.7,0,Not Placed
5.7,5.2,47,3,0,7.75,5,5.0,5.9,1,Not Placed
4.5,0.9,9,4,0,8.49,1,3.7,3.4,1,Placed
6.7,5.7,82,4,0,8.22,4,6.4,5.4,3,Placed
4.1,3.0,25,1,0,6.25,0,5.9,5.3,1,Placed
8.6,2.7,23,2,0,8.96,6,9.0,8.6,2,Placed
5.4,6.5,59,3,0,6.86,2,5.5,6.2,3,Placed
3.2,10.2,123,0,0,6.46,2,4.8,2.2,1,Placed
2.9,8.8,79,1,1,7.69,1,4.7,4.5,1,Placed
5.2,1.3,19,2,0,8.49,4,5.3,4.5,4,Not Placed
4.2,3.0,33,3,0,8.51,1,6.9,5.6,2,Not Placed
5.6,8.8,101,2,1,8.12,4,7.1,4.7,2,Placed
5.2,3.1,29,1,1,7.71,3,10.0,6.8,2,Not Placed
4.4,5.3,60,1,1,6.5,2,4.2,3.2,3,Placed
3.2,7.7,96,0,1,6.8,3,6.1,3.1,1,Placed
2.2,3.1,41,2,0,6.02,3,5.0,3.4,0,Not Placed
3.8,6.3,83,2,1,7.46,3,6.5,5.8,0,Placed
5.8,2.0,24,1,0,7.11,1,8.1,5.6,4,Placed
4.8,4.2,60,2,0,7.45,2,7.3,4.6,2,Placed
2.6,7.0,95,3,0,5.21,4,4.2,3.8,2,Not Placed
4.8,1.2,16,2,0,7.62,2,7.0,5.5,1,Placed
5.1,7.3,61,2,0,8.01,5,2.8,2.7,2,Not Placed
3.2,5.9,47,3,1,5.45,4,2.4,4.4,1,Not Placed
4.7,7.7,72,2,1,6.43,4,5.6,5.1,1,Placed
4.6,6.7,84,2,0,6.39,3,6.9,4.9,1,Placed
2.8,10.1,109,1,0,6.27,1,6.5,2.8,1,Placed
5.0,6.4,68,4,1,6.54,0,8.9,8.0,0,Placed
5.3,4.7,66,5,1,8.64,2,6.2,8.5,1,Not Placed
6.1,6.4,90,1,0,8.37,1,5.8,3.7,1,Placed
6.1,7.6,109,1,1,8.46,1,7.7,4.6,2,Placed
2.4,6.1,62,4,0,5.1,4,5.4,6.6,1,Placed
3.1,6.1,78,2,0,7.45,1,6.6,5.2,3,Placed
5.3,3.9,38,4,1,8.09,3,6.7,7.5,2,Placed
5.3,4.0,37,3,0,7.16,5,4.5,4.8,3,Placed
5.3,1.8,16,2,0,6.56,4,6.6,3.4,2,Not Placed
10.0,11.2,116,2,1,9.95,5,9.3,7.5,4,Placed
5.4,2.3,24,0,1,7.35,4,7.7,6.2,0,Not Placed
6.2,3.9,54,2,0,7.8,4,4.7,3.1,3,Not Placed
5.9,3.8,33,0,0,7.47,2,9.5,2.8,4,Placed
5.5,8.7,114,4,0,8.24,0,7.0,6.3,2,Placed
4.0,5.1,59,3,1,5.19,2,6.6,6.2,5,Placed
5.6,9.7,97,3,0,8.82,5,5.9,3.2,2,Placed
3.3,4.0,45,0,0,7.37,6,7.0,4.1,1,Not Placed
4.1,6.8,69,4,1,7.22,1,6.2,7.0,2,Placed
3.8,3.5,42,2,0,6.79,0,6.0,2.7,3,Placed
4.6,12.4,137,1,0,8.07,4,5.8,5.4,0,Placed
8.0,2.4,22,1,0,8.96,4,7.5,5.1,1,Not Placed
1.7,6.9,61,3,1,5.65,5,7.3,4.6,1,Not Placed
5.5,7.9,93,2,0,8.56,3,5.8,4.9,1,Not Placed
2.1,7.2,103,1,0,7.51,1,3.7,3.3,2,Not Placed
3.8,5.4,56,2,1,6.22,5,6.1,6.6,4,Placed
6.1,5.6,73,1,0,8.36,2,4.9,2.4,4,Not Placed
4.6,6.1,77,2,0,6.54,4,5.3,4.7,3,Placed
2.9,5.6,80,3,0,6.79,1,5.8,4.5,2,Placed
3.4,8.9,122,2,0,6.17,4,4.4,2.8,6,Placed
5.5,12.6,151,1,0,8.61,6,3.6,1.5,4,Placed
3.4,4.3,54,0,0,6.63,1,6.4,1.3,0,Not Placed
4.8,1.9,27,0,0,7.44,3,6.0,3.6,1,Placed
4.6,5.7,61,1,0,8.43,2,6.0,3.3,1,Placed
3.5,13.7,141,2,1,6.25,2,6.8,2.9,2,Placed
7.7,3.6,28,2,1,9.34,4,5.0,4.8,1,Placed
5.5,10.9,150,2,1,7.28,5,6.5,6.6,0,Placed
1.5,11.0,150,1,1,6.57,1,8.0,4.3,0,Placed
4.8,4.3,37,1,0,8.64,2,5.6,2.7,1,Placed
3.5,7.7,92,2,1,6.57,4,8.8,7.1,1,Not Placed
5.8,10.9,122,0,0,6.35,4,6.1,1.0,0,Not Placed
3.3,4.9,42,1,1,6.17,4,4.7,3.4,1,Not Placed
4.3,5.4,80,3,1,8.87,6,7.3,6.8,2,Placed
5.3,4.3,40,0,1,7.21,3,5.8,3.4,2,Placed
5.8,3.0,25,0,1,9.14,4,7.6,3.5,2,Placed
2.7,4.1,49,1,0,5.93,4,6.6,2.7,0,Placed
4.0,2.3,30,1,0,6.56,1,5.5,1.7,2,Not Placed
3.8,6.1,50,0,0,7.44,2,8.3,3.5,2,Placed
3.5,3.7,46,2,0,7.22,1,5.3,4.9,2,Placed
7.1,6.7,78,2,0,9.17,2,2.8,4.9,1,Placed
5.1,1.3,11,2,1,7.56,1,7.3,5.9,2,Placed
2.6,7.0,64,0,1,7.03,8,6.5,5.0,3,Not Placed
5.9,8.5,101,3,0,8.61,2,7.9,4.8,1,Placed
7.7,0.0,0,0,1,9.65,2,4.7,1.2,2,Placed
6.0,7.1,103,2,1,7.59,6,5.6,6.9,0,Placed
2.2,9.7,132,3,1,6.83,2,5.5,4.9,3,Placed
3.8,2.4,35,4,1,6.52,2,7.4,7.8,1,Placed
6.4,11.0,108,2,0,8.09,0,7.0,4.8,4,Placed
3.4,7.3,107,2,1,6.59,1,6.3,6.4,2,Placed
5.2,3.9,42,1,1,6.88,1,6.3,5.7,2,Placed
5.7,5.8,60,4,0,6.62,4,4.3,4.8,1,Placed
3.1,7.7,64,3,0,7.41,2,7.2,5.8,1,Placed
4.4,6.2,52,3,1,6.71,5,7.2,7.6,2,Placed
1.0,7.6,97,2,0,5.31,3,9.4,5.5,3,Placed
3.0,3.2,36,1,1,5.97,3,6.7,6.5,1,Placed
4.1,6.5,62,3,1,6.88,5,6.9,5.6,3,Placed
2.6,1.8,21,1,0,5.96,3,6.7,4.0,2,Not Placed
6.9,5.7,55,0,0,9.37,3,5.0,3.1,2,Not Placed
2.4,3.3,39,3,1,5.76,5,7.9,5.1,1,Placed
3.8,3.8,39,2,0,8.12,4,5.9,5.5,2,Placed
4.7,9.7,133,3,0,8.15,1,5.7,5.1,1,Placed
6.7,9.3,127,3,0,8.0,4,5.8,8.0,2,Not Placed
2.3,7.8,88,0,0,6.4,3,5.9,5.0,3,Placed
6.2,2.7,28,3,1,8.49,1,5.3,5.4,2,Placed
4.5,5.1,53,2,0,7.85,3,6.3,6.1,1,Placed
3.0,9.6,131,2,1,7.17,2,5.9,6.0,1,Placed
5.2,6.4,66,3,0,7.73,3,5.7,4.9,0,Not Placed
4.8,13.0,122,1,0,6.73,1,6.7,2.3,0,Placed
3.6,7.2,61,1,1,7.25,1,6.1,3.2,2,Placed
4.6,6.6,74,2,1,7.14,2,5.2,4.8,1,Placed
3.9,5.1,57,1,0,5.01,4,4.9,2.5,2,Not Placed
4.7,6.4,88,0,0,7.61,2,6.1,3.3,2,Placed
5.5,5.5,52,2,0,7.23,2,4.9,5.0,0,Placed
6.9,8.1,86,4,0,8.12,4,4.8,5.7,2,Placed
2.6,8.9,121,2,1,6.33,2,4.8,3.9,2,Not Placed
7.7,3.6,50,0,0,7.76,3,6.4,4.1,1,Placed
1.6,2.0,21,1,0,5.88,4,7.8,3.6,1,Not Placed
4.3,0.5,5,5,0,6.91,5,6.5,5.1,1,Placed
5.4,7.5,76,4,1,7.08,3,7.3,7.4,3,Placed
4.9,2.7,39,4,1,7.49,2,5.9,5.5,1,Placed
3.6,0.0,0,4,0,5.6,5,6.2,4.9,2,Placed
4.2,7.2,104,3,1,7.15,4,8.5,8.0,0,Placed
3.8,13.5,172,2,0,7.21,1,7.2,5.5,0,Placed
3.6,6.0,70,1,0,7.02,5,7.4,3.9,0,Placed
5.8,8.5,70,1,1,8.44,2,5.6,2.8,3,Placed
5.0,6.2,70,1,1,8.33,3,6.0,3.9,0,Placed
3.5,5.7,61,0,1,6.67,2,6.6,6.2,0,Placed
5.8,8.8,79,1,0,8.69,10,5.1,4.1,2,Placed
5.0,5.1,64,4,0,7.42,4,2.5,5.1,0,Placed
5.7,6.8,100,0,1,7.37,3,6.6,4.6,0,Placed
5.4,7.0,83,1,0,7.45,4,7.4,4.0,1,Not Placed
3.3,4.0,51,3,0,6.82,5,6.1,5.7,1,Placed
3.7,9.0,76,1,0,7.59,3,5.1,4.4,0,Not Placed
5.6,5.5,59,2,1,7.81,1,5.5,4.5,0,Placed
5.4,3.7,32,1,0,7.24,2,3.0,1.4,3,Not Placed
4.5,7.6,93,2,0,8.25,3,5.5,2.4,1,Placed
4.7,3.3,48,3,1,6.33,2,4.3,4.2,1,Not Placed
6.4,6.1,76,1,0,7.74,4,5.0,3.7,0,Placed
3.6,6.0,50,5,0,7.43,5,4.3,4.5,3,Placed
5.3,9.3,97,5,0,8.9,0,4.1,6.0,1,Placed
4.2,7.4,88,1,0,7.43,2,4.5,4.8,3,Placed
4.2,5.9,64,0,0,7.26,3,6.9,3.5,2,Placed
6.1,8.5,116,1,0,7.87,4,5.2,3.2,2,Placed
5.7,10.2,139,3,1,8.25,2,4.3,5.5,0,Placed
5.7,7.7,94,1,0,7.95,0,7.1,3.6,1,Placed
6.5,6.0,64,0,1,7.7,2,6.2,3.4,1,Not Placed
4.5,2.1,20,3,0,7.05,1,2.5,2.4,0,Placed
5.5,2.8,24,2,0,7.15,4,7.5,3.8,5,Placed
4.0,5.1,53,0,0,7.03,1,6.1,4.0,0,Not Placed
5.0,4.2,45,0,0,7.61,2,7.2,3.1,4,Placed
4.3,5.4,69,1,1,8.3,1,5.7,5.5,0,Placed
4.6,6.2,77,2,0,6.9,4,8.4,5.9,0,Placed
5.4,7.6,64,1,0,7.57,1,5.4,3.3,0,Placed
3.3,5.8,62,0,1,7.52,2,2.0,2.8,0,Not Placed
7.6,7.5,69,3,1,10.0,4,4.7,4.2,1,Placed
3.0,6.2,56,0,1,6.83,3,6.8,3.6,0,Not Placed
2.7,0.1,1,2,0,6.16,9,6.2,5.0,1,Not Placed
6.2,3.2,26,1,1,7.79,1,5.8,2.3,1,Not Placed
5.7,5.6,60,1,0,6.55,0,4.5,2.9,2,Not Placed
5.4,2.4,21,3,0,7.07,1,6.0,5.4,0,Placed
5.4,7.8,110,2,0,7.79,2,6.0,5.5,3,Placed
4.5,10.6,126,3,0,7.11,1,6.0,6.3,3,Not Placed
3.2,9.7,92,3,0,7.01,0,6.8,5.1,3,Not Placed
4.6,5.4,61,5,0,7.17,5,6.3,6.9,1,Placed
3.5,10.5,137,2,1,6.23,5,5.6,4.2,0,Placed
6.0,6.4,94,0,0,8.22,7,4.5,1.8,1,Not Placed
4.3,5.0,47,1,0,8.89,2,8.0,6.0,2,Not Placed
3.3,4.2,59,1,0,6.41,4,9.0,5.0,2,Placed
4.0,5.1,74,2,1,7.11,6,8.6,6.7,1,Placed
5.1,4.8,69,3,0,8.15,3,7.0,4.3,1,Placed
3.7,6.5,81,4,0,6.43,7,3.5,4.6,1,Placed
3.3,6.5,80,0,1,7.52,3,3.3,3.4,3,Not Placed
4.9,6.0,65,1,1,6.33,4,5.2,4.9,1,Placed
4.9,7.3,96,2,0,7.15,2,5.9,2.9,1,Placed
3.7,9.6,112,2,1,6.65,3,5.9,6.1,1,Placed
3.8,8.8,112,3,1,7.0,2,6.3,4.9,2,Placed
4.8,1.5,16,1,1,6.04,2,3.9,3.5,0,Not Placed
2.3,0.0,0,1,0,7.11,5,8.4,3.2,2,Not Placed
2.4,8.8,121,2,1,6.48,2,8.3,6.1,4,Placed
3.4,1.9,17,0,0,7.5,3,4.0,1.0,1,Not Placed
4.2,5.3,73,3,0,8.22,4,3.2,3.0,2,Not Placed
5.0,2.5,29,3,0,6.96,1,5.9,4.8,1,Not Placed
6.7,0.6,8,3,0,6.61,1,7.9,6.6,0,Not Placed
5.8,7.6,84,3,0,8.7,3,6.0,5.6,5,Placed
4.3,8.3,88,2,1,6.93,3,6.4,3.1,0,Not Placed
4.5,4.3,61,5,0,6.44,3,5.3,6.3,0,Not Placed
3.0,0.0,0,3,0,6.9,3,6.2,5.1,2,Placed
4.5,4.4,60,1,0,8.96,1,7.4,3.7,3,Not Placed
4.1,7.2,81,4,0,6.96,3,6.6,4.8,2,Placed
5.0,1.6,18,2,1,8.16,3,6.9,5.6,1,Placed
3.3,6.6,66,2,0,5.94,0,3.5,3.2,0,Not Placed
5.3,6.0,71,0,0,6.46,2,9.2,5.0,1,Not Placed
6.8,7.7,79,1,0,9.04,1,3.5,2.2,2,Not Placed
4.3,6.4,52,2,0,7.55,3,6.2,1.8,2,Placed
5.1,3.1,30,1,0,7.23,2,5.8,3.0,1,Not Placed
5.5,9.6,77,3,1,8.96,1,5.8,4.5,3,Placed
3.9,5.5,82,5,1,5.71,3,7.3,9.7,1,Placed
4.8,5.9,87,2,0,6.56,3,4.9,3.7,1,Placed
4.5,3.2,34,2,1,6.88,4,5.4,5.6,0,Not Placed
4.6,4.7,61,2,1,7.07,1,4.3,5.0,3,Not Placed
3.3,3.3,34,1,1,7.7,1,7.7,5.8,6,Not Placed
4.5,5.5,69,1,0,7.3,7,6.4,3.4,4,Placed
5.2,11.1,151,3,0,7.49,1,7.0,4.7,2,Not Placed
6.7,1.9,27,4,0,7.45,5,7.2,4.0,1,Placed
5.9,1.2,12,2,1,8.73,0,9.0,6.8,0,Not Placed
7.7,10.4,140,4,1,8.07,7,8.7,8.1,0,Placed
3.3,5.4,52,2,0,5.78,3,6.5,4.4,2,Not Placed
5.8,4.0,59,3,0,7.62,1,6.2,5.1,4,Not Placed
4.8,9.1,74,2,1,7.5,4,5.2,3.6,1,Placed
7.8,4.2,51,3,1,8.39,5,7.1,6.1,2,Placed
3.3,11.5,144,2,1,7.14,2,7.1,5.1,1,Placed
3.2,8.0,102,3,1,6.42,1,4.9,5.9,2,Placed
3.6,4.5,40,0,0,7.54,2,7.1,3.6,0,Placed
1.3,12.5,181,2,0,6.01,6,7.5,4.3,0,Placed
3.7,4.2,38,2,1,8.11,1,4.3,4.2,3,Not Placed
3.4,8.2,101,3,0,6.37,4,6.3,3.9,0,Not Placed
4.7,6.9,65,2,0,7.95,4,5.9,3.8,2,Not Placed
5.0,9.9,100,0,1,6.26,2,6.0,4.6,2,Placed
7.3,10.7,126,1,0,10.0,1,4.6,1.6,1,Placed
5.9,6.1,66,4,1,8.52,0,3.3,5.0,2,Placed
3.6,3.7,34,2,0,6.61,2,4.9,2.9,0,Not Placed
3.2,7.4,67,2,1,6.39,4,4.7,3.2,3,Not Placed
5.2,4.0,43,1,0,7.45,4,6.5,5.7,5,Placed
2.5,12.0,160,2,0,7.55,3,6.6,5.7,3,Placed
7.2,6.4,91,1,1,9.25,5,6.5,4.2,1,Placed
6.3,4.9,42,2,0,7.82,5,3.9,2.9,0,Not Placed
3.8,6.6,70,1,1,6.03,2,4.3,1.7,2,Placed
1.9,2.0,17,2,1,6.8,2,5.1,3.1,0,Not Placed
6.5,3.1,25,1,0,8.85,4,6.0,2.5,0,Not Placed
4.3,9.6,121,3,0,7.66,1,5.5,4.5,2,Placed
6.4,4.0,49,1,0,8.12,4,6.5,3.7,0,Not Placed
